Product ID,Product Name,Category,Supplier ID,Supplier Name,Purchase Date,Purchase Price,Retail Price,Stock Level,Reorder Point,Lead Time (Days),Sales Volume,Sales Date,Sales Channel,Demand Forecast,Stockouts,Backorders,Warehouse Location,Expiration Date,Discounts Applied,Inventory Aging,Return Rate
1009,Approach,Books,157,Ruiz-Ortega,2024-02-03,24.4,37.33,247,59,14,56,2025-02-21,Online,96,0,10,WH2,,15,25,3.08
8610,Again,Toys,123,Solis Ltd,2020-04-24,48.2,117.78,178,10,8,17,2025-01-13,Online,133,3,4,WH2,,11,83,4.54
2343,Prevent,Toys,175,"Austin, Russell and Richards",2022-10-13,33.87,74.21,156,61,11,40,2025-01-15,Online,106,0,4,WH2,,28,24,4.74
4015,Company,Toys,121,Richardson-Obrien,2021-07-04,14.28,35.7,321,86,13,58,2025-02-21,Wholesale,131,5,9,WH2,,18,73,1.32
1514,Prepare,Home,125,Lawrence Inc,2020-09-23,9.22,14.79,430,70,4,2,2025-01-27,Wholesale,127,0,1,WH1,,9,15,1.91
1398,One,Electronics,173,Johnson Inc,2023-11-25,28.62,65.26,197,13,3,15,2025-01-14,Online,180,1,4,WH1,,17,48,2.3
7555,Beyond,Grocery,184,Hull Group,2022-12-12,26.59,65.04,191,62,4,71,2025-01-28,In-store,127,4,2,WH3,2020-03-14,19,19,4.03
9133,Range,Grocery,187,"Martin, Peterson and Mejia",2020-09-27,40.16,94.94,386,82,15,81,2025-01-18,Online,179,0,0,WH3,2021-07-01,21,18,3.52
6667,Player,Electronics,194,Lawson-Rodriguez,2025-01-12,43.78,71.46,139,77,5,16,2025-02-17,In-store,64,0,7,WH3,,24,75,0.44
3900,Still,Clothing,169,Warren PLC,2022-06-23,16.88,48.86,274,93,13,63,2025-02-14,Online,168,4,10,WH2,,0,87,1.96
8503,Interesting,Home,117,Hale Ltd,2020-03-18,34.06,52.09,267,13,5,2,2025-01-26,Wholesale,139,2,7,WH2,,20,64,4.0
8253,Professional,Toys,114,Wells LLC,2021-06-06,11.86,20.54,307,56,3,26,2025-02-18,In-store,77,4,10,WH3,,4,41,3.07
8363,Rule,Clothing,182,"Howard, Mccullough and Conrad",2023-08-28,7.48,20.41,443,33,14,55,2025-01-12,In-store,142,5,8,WH1,,21,57,4.32
5596,Mother,Toys,192,"Marshall, Gonzalez and Castillo",2022-01-20,31.16,74.1,222,74,13,7,2025-01-11,Online,156,1,5,WH1,,19,60,4.73
8770,Small,Books,175,Oliver-Clark,2021-06-14,23.21,65.05,405,33,15,99,2025-01-09,Online,72,1,9,WH1,,17,50,0.15
2598,Heavy,Grocery,173,"Johnson, Gomez and Mack",2023-03-08,9.16,16.8,286,68,3,39,2025-01-24,Wholesale,153,0,3,WH2,2023-03-09,10,68,2.49
4356,Tough,Grocery,120,Patton-Bell,2023-05-10,14.65,35.45,209,15,7,11,2025-01-21,Wholesale,153,2,9,WH3,2023-12-09,20,69,0.91
6518,Must,Toys,197,"Gross, Robinson and Scott",2022-06-19,21.38,45.2,87,99,3,40,2025-02-06,In-store,141,0,9,WH3,,14,61,2.22
2909,Whom,Electronics,100,Smith-Williams,2024-04-04,41.06,120.8,370,72,6,30,2025-01-15,In-store,56,0,1,WH2,,17,60,2.61
4538,Plan,Books,130,Kennedy-Anderson,2021-11-22,34.46,68.76,311,42,3,44,2025-02-11,Wholesale,100,1,8,WH2,,17,22,0.4
8799,Race,Grocery,189,Mays-Khan,2020-04-08,11.61,26.78,193,66,12,6,2025-01-26,Wholesale,87,2,2,WH1,2020-10-24,10,14,1.86
2492,Set,Home,123,Brown-Rosales,2021-11-06,30.75,92.08,239,22,3,2,2025-01-16,In-store,188,5,2,WH1,,28,18,1.15
5935,Tax,Grocery,145,"Miller, Johnson and Castillo",2021-01-15,42.22,71.53,496,50,6,52,2025-01-12,In-store,75,0,2,WH3,2022-01-15,17,13,3.84
2332,How,Home,199,Walters Group,2023-01-29,41.67,65.1,400,75,9,67,2025-01-06,Online,191,2,2,WH3,,21,13,1.55
8592,Hundred,Grocery,106,Daniel-Sanders,2023-12-24,48.26,104.66,91,66,11,88,2025-02-07,Online,102,1,3,WH1,2021-10-24,10,85,0.14
9884,Data,Grocery,190,Foster-Cruz,2024-05-10,28.89,63.41,96,83,12,59,2025-02-08,Online,104,2,10,WH2,2025-01-22,5,66,0.35
6705,Few,Books,145,"Walsh, Williams and Sampson",2021-06-06,41.88,88.84,194,31,9,10,2025-02-21,Wholesale,153,5,1,WH1,,27,45,0.49
8287,Call,Grocery,176,Coleman-Patterson,2022-10-22,10.99,31.93,75,80,9,90,2025-01-27,Online,79,0,1,WH1,2024-01-26,24,56,0.47
1481,Commercial,Books,177,Pacheco Inc,2021-07-17,8.84,15.17,238,95,14,49,2025-01-10,In-store,131,3,5,WH3,,16,87,3.58
5800,Design,Grocery,113,Nixon and Sons,2021-01-31,10.8,21.86,442,77,8,42,2025-01-17,Wholesale,61,5,2,WH3,2020-07-20,18,46,0.37
3511,Eye,Toys,172,Blevins and Sons,2024-11-01,21.22,56.16,343,91,11,85,2025-01-11,Online,124,5,3,WH1,,8,54,4.72
5903,Face,Home,156,"Tyler, Ortiz and Kelly",2020-07-23,37.85,78.57,451,34,6,84,2025-01-16,Online,75,1,3,WH2,,8,34,2.51
6210,Road,Electronics,142,"Hickman, Rodriguez and Reeves",2023-07-27,25.75,73.65,1,77,7,22,2025-02-05,Online,95,0,6,WH1,,21,8,4.56
8778,Available,Toys,173,"Sanders, Hodges and Wong",2021-02-16,6.93,12.98,211,38,8,43,2025-01-08,In-store,114,4,10,WH3,,17,49,0.44
2003,Person,Grocery,102,"Romero, Brooks and Mitchell",2023-04-03,20.74,33.7,365,42,14,20,2025-01-27,In-store,183,5,3,WH3,2022-02-04,21,54,0.45
2209,First,Grocery,150,"Henderson, Hancock and Terrell",2020-12-20,12.31,29.42,465,12,14,58,2025-01-22,In-store,92,0,10,WH3,2020-01-24,1,33,2.2
4518,Century,Books,169,Walker-Santiago,2022-12-08,25.63,67.76,38,87,11,43,2025-02-08,In-store,134,2,10,WH2,,25,84,1.19
2372,Various,Clothing,129,"Rogers, Lam and Mcbride",2021-06-19,22.58,41.0,277,14,3,7,2025-02-07,Online,158,1,1,WH1,,21,26,1.06
1169,Good,Toys,116,Gordon LLC,2020-08-24,36.71,65.71,361,48,8,36,2025-01-17,Online,117,0,9,WH1,,7,11,2.61
8173,Walk,Books,161,Burch-Williams,2021-06-22,38.69,97.96,16,83,4,30,2025-02-18,Wholesale,105,2,2,WH1,,4,39,0.17
3086,Explain,Clothing,107,Schwartz Ltd,2022-05-11,7.14,17.29,197,21,15,33,2025-02-02,Online,172,0,10,WH3,,14,87,2.4
3756,Beautiful,Electronics,191,Curry-Nelson,2024-10-07,30.44,88.0,216,18,11,83,2025-02-16,In-store,180,3,3,WH2,,7,74,2.37
4677,Sort,Clothing,124,Warner-Stokes,2024-03-12,34.25,90.06,52,40,14,100,2025-01-10,In-store,135,3,1,WH2,,27,61,0.48
8668,Response,Toys,108,Young-Smith,2023-05-09,19.74,49.98,279,22,10,10,2025-02-06,Wholesale,195,4,4,WH2,,21,5,4.67
8818,Reduce,Electronics,154,"Smith, Huff and Scott",2024-05-14,44.46,100.54,383,48,7,42,2025-02-05,Online,112,2,8,WH3,,6,23,2.47
4076,Pick,Books,110,Farrell-Hancock,2022-05-18,43.76,85.53,141,33,4,25,2025-01-10,In-store,189,3,4,WH2,,21,33,4.83
6885,Enter,Toys,153,Vasquez-Simpson,2023-09-27,29.2,77.63,440,58,5,83,2025-02-16,In-store,105,4,9,WH2,,6,90,2.17
5978,Less,Electronics,102,Larson PLC,2022-05-01,42.57,122.56,216,28,3,27,2025-02-05,In-store,124,3,8,WH1,,11,43,1.45
5146,Beyond,Toys,125,Shea-Jimenez,2024-01-14,46.39,96.7,381,22,9,10,2025-02-11,Online,113,5,5,WH1,,1,64,0.26
9256,Here,Toys,145,Rowland-Wilson,2021-08-22,30.57,74.33,167,37,12,58,2025-02-13,Online,79,0,3,WH1,,8,58,3.91
2520,Space,Books,100,Murphy PLC,2021-12-25,10.08,26.64,485,49,11,17,2025-01-05,Online,174,2,10,WH2,,8,70,3.11
6229,Certainly,Clothing,132,Sanchez Ltd,2021-08-20,13.26,38.1,219,100,6,46,2025-01-27,Online,128,4,2,WH2,,25,23,3.83
7373,Sound,Electronics,120,"Mccoy, King and Anderson",2023-11-22,26.81,64.08,299,16,9,21,2025-01-13,In-store,110,5,8,WH2,,16,81,1.32
3433,Drug,Electronics,121,"Dennis, Berry and Leon",2022-04-02,47.09,101.55,370,12,7,92,2025-01-20,Online,89,1,10,WH2,,2,90,3.28
2515,Arm,Books,191,"Reed, Smith and Strickland",2021-10-09,41.09,117.26,96,16,11,16,2025-01-03,Wholesale,55,2,9,WH2,,18,83,1.58
9965,Military,Home,127,Wolfe-Oneal,2025-01-17,47.22,93.56,255,36,12,82,2025-01-28,Online,101,4,9,WH2,,9,83,3.39
7316,Top,Clothing,115,Robertson PLC,2020-07-27,10.54,25.71,420,32,10,19,2025-02-18,In-store,82,2,6,WH3,,17,37,3.22
9452,Safe,Clothing,189,Smith Ltd,2023-11-10,29.27,71.49,467,54,12,62,2025-01-05,Wholesale,117,2,2,WH3,,15,62,4.52
3711,True,Electronics,149,"Taylor, Case and Ellis",2021-08-29,16.69,41.51,246,60,10,1,2025-02-20,Wholesale,94,2,0,WH3,,16,16,2.5
7883,Appear,Home,200,Williams and Sons,2023-02-03,49.29,126.02,223,37,5,91,2025-01-28,Wholesale,65,1,1,WH1,,27,7,1.08
7352,Others,Toys,180,Rios-Wade,2023-02-06,22.0,39.9,239,96,5,22,2025-01-10,In-store,64,3,6,WH1,,15,36,3.86
5925,Develop,Toys,145,Olson-Thompson,2020-11-22,17.49,43.4,243,39,11,51,2025-01-21,Online,108,2,9,WH2,,12,81,4.2
4638,Idea,Grocery,174,"Hebert, Baldwin and Perez",2023-06-06,49.55,108.78,366,35,12,36,2025-01-06,Online,192,1,9,WH1,2023-12-09,8,15,4.26
4579,Say,Books,121,Knox Ltd,2022-04-30,19.5,53.27,441,45,10,60,2025-01-08,Wholesale,113,3,4,WH3,,23,79,4.59
7105,Ball,Books,140,"Soto, Bentley and Norris",2023-10-30,29.77,53.83,297,34,8,54,2025-01-20,Wholesale,125,0,10,WH3,,25,86,3.69
3968,Year,Home,159,Shields-Mason,2025-01-05,49.12,85.06,84,92,4,43,2025-01-27,In-store,99,2,0,WH1,,5,12,2.12
2388,Agency,Clothing,189,Good-Garcia,2020-06-09,49.15,98.26,378,48,4,50,2025-02-08,Online,158,2,0,WH2,,11,33,1.68
2785,Even,Home,123,Schmitt LLC,2023-04-30,8.48,16.57,224,59,9,21,2025-01-28,Wholesale,189,1,3,WH2,,2,68,1.53
2907,Either,Grocery,108,Johnson-Barnett,2023-08-06,10.26,21.88,348,13,7,80,2025-02-13,Wholesale,189,3,6,WH3,2023-10-11,4,12,4.1
2102,Each,Clothing,180,Moore Group,2023-02-17,5.34,13.91,48,62,12,82,2025-01-19,Wholesale,196,0,1,WH1,,23,83,4.09
1335,Two,Home,165,Robbins-Martin,2021-06-02,32.65,75.26,223,22,6,35,2025-01-16,Online,70,1,7,WH3,,17,67,0.29
9648,Blue,Home,197,Jimenez LLC,2021-11-17,20.23,34.12,301,85,13,10,2025-01-07,Wholesale,167,1,1,WH2,,0,7,2.06
7313,Trouble,Toys,167,"Garner, Henry and Bowman",2023-11-17,24.12,70.94,171,11,6,52,2025-01-23,Online,78,0,8,WH3,,29,18,4.52
5105,Choose,Books,122,Reed and Sons,2022-05-06,24.49,71.5,474,79,3,97,2025-02-13,In-store,196,2,9,WH2,,30,6,2.74
5195,Amount,Grocery,119,Adams LLC,2020-11-18,45.46,94.91,327,67,8,23,2025-02-18,Wholesale,155,3,6,WH1,2023-11-13,18,69,2.54
7607,Cause,Toys,163,Wiley-Durham,2024-03-12,46.77,80.14,201,93,3,5,2025-02-20,Online,167,4,3,WH2,,1,61,2.29
1706,Recent,Electronics,114,"Fowler, Martinez and Bennett",2020-07-03,22.47,58.99,20,48,7,90,2025-01-26,Online,192,0,6,WH2,,0,12,1.86
7923,That,Grocery,163,Hoffman and Sons,2023-02-22,23.2,68.42,146,68,5,21,2025-01-20,Online,191,0,1,WH2,2022-11-20,29,52,1.68
8240,Sell,Toys,129,Burns-Clark,2020-10-29,48.74,82.19,8,90,14,16,2025-01-22,In-store,163,0,10,WH2,,2,87,2.86
8292,Participant,Electronics,105,Miles-Kennedy,2022-08-12,9.64,24.42,132,87,13,82,2025-01-07,Wholesale,60,3,0,WH1,,2,8,2.73
3420,Congress,Books,156,"Garcia, Gamble and Dominguez",2024-07-14,43.7,79.19,325,28,7,90,2025-01-01,In-store,141,2,6,WH3,,6,60,1.59
3192,Respond,Toys,101,Mcgee LLC,2024-04-15,42.05,84.77,383,99,7,95,2025-01-14,Online,117,3,2,WH3,,23,18,0.27
1633,Attack,Home,104,"Bird, Smith and Kim",2020-08-12,43.39,101.41,441,44,10,46,2025-02-05,In-store,118,0,4,WH3,,3,60,1.73
4255,Investment,Clothing,185,Stewart PLC,2022-03-04,11.57,21.6,26,70,7,53,2025-02-21,In-store,94,5,1,WH2,,4,57,3.08
9738,Local,Books,172,Murphy Ltd,2024-11-30,38.87,86.97,222,75,15,7,2025-02-14,Online,75,1,2,WH3,,2,2,1.58
7154,Sell,Grocery,142,"Brown, Nolan and Henderson",2024-04-18,23.74,64.73,106,35,14,25,2025-02-07,Wholesale,177,3,4,WH2,2023-12-27,23,88,1.62
7696,Candidate,Clothing,109,Miller-Williams,2023-12-27,23.88,70.67,428,27,4,55,2025-01-30,Wholesale,117,1,6,WH2,,8,81,1.96
9181,Door,Grocery,155,"Conner, Roberts and Mcdaniel",2021-01-28,29.18,52.05,266,88,10,53,2025-01-11,In-store,160,4,0,WH2,2023-06-16,4,61,0.36
7404,Citizen,Toys,135,"Hayes, Jones and Hester",2020-06-27,15.71,40.27,441,67,7,40,2025-02-01,In-store,160,0,10,WH1,,18,29,2.03
3301,Continue,Books,120,Munoz-Gomez,2020-07-30,15.62,34.97,232,43,8,11,2025-01-04,In-store,151,1,10,WH2,,13,16,1.11
1513,Purpose,Grocery,150,Ramirez PLC,2022-08-25,21.99,38.6,317,14,6,15,2025-01-18,Wholesale,103,2,5,WH3,2021-03-09,21,39,3.79
6311,Thought,Clothing,164,Gonzalez LLC,2021-10-19,6.72,12.71,176,21,13,68,2025-02-19,Online,181,5,1,WH1,,7,10,4.77
5429,Medical,Toys,132,Lara-Mcdaniel,2020-01-25,17.9,45.16,398,89,10,25,2025-02-01,Online,174,4,7,WH2,,25,69,2.97
9303,Stage,Home,199,Moore-Bowen,2021-08-30,6.54,13.95,330,46,14,62,2025-01-17,Wholesale,193,5,9,WH1,,17,1,0.05
2656,After,Home,200,"Franklin, Alvarado and Shelton",2022-05-15,14.7,42.18,438,96,8,10,2025-02-03,Wholesale,196,0,4,WH1,,9,84,1.63
8542,Himself,Grocery,154,Wilkins LLC,2022-12-29,30.5,87.73,14,90,6,26,2025-01-19,In-store,149,1,1,WH2,2024-06-10,0,17,1.71
7628,Because,Clothing,119,Hatfield LLC,2022-11-08,20.6,44.31,309,96,6,64,2025-02-11,In-store,171,3,8,WH1,,1,56,3.14
2598,Friend,Home,142,Mason-Riley,2020-11-06,7.7,19.37,192,16,3,0,2025-01-29,Wholesale,172,4,8,WH1,,2,17,2.88
5709,Same,Home,151,Moore-Henderson,2021-09-08,31.25,80.69,56,79,3,76,2025-01-16,Wholesale,172,0,6,WH1,,28,82,3.14
2504,Clearly,Home,124,Stewart-Lane,2022-12-10,41.19,121.69,83,89,3,51,2025-02-18,Wholesale,138,3,10,WH2,,1,39,2.19
9571,Hand,Grocery,190,Foster-Young,2023-04-20,37.91,107.68,154,19,9,41,2025-02-02,Wholesale,60,5,0,WH3,2024-09-02,3,30,2.8
5507,Her,Home,124,Rivas Group,2022-11-29,29.52,88.19,17,12,14,61,2025-02-14,In-store,190,2,2,WH2,,0,34,3.66
5322,Single,Electronics,124,Hoover-Gilbert,2020-08-28,12.19,21.41,249,100,4,19,2025-02-05,Wholesale,105,2,7,WH1,,25,4,4.92
9929,Future,Toys,157,Ramirez LLC,2024-01-29,11.14,32.95,22,65,8,61,2025-01-26,Online,75,2,7,WH1,,22,34,4.86
5562,Exactly,Clothing,119,"Bird, Garcia and Arnold",2022-09-28,48.92,143.5,217,15,6,47,2025-01-18,In-store,123,5,10,WH3,,5,29,1.0
4299,Provide,Grocery,113,Gardner-Stanley,2020-02-29,41.13,77.57,131,83,5,74,2025-02-06,Online,185,4,7,WH1,2021-03-31,16,40,4.5
2332,Move,Grocery,101,Ponce LLC,2021-03-30,24.73,72.64,493,90,6,44,2025-01-29,Wholesale,105,0,9,WH1,2023-08-30,16,18,3.51
6092,Development,Books,100,Smith Group,2020-02-25,36.4,97.46,257,72,8,83,2025-01-02,Wholesale,95,1,2,WH1,,10,35,3.87
4244,Thousand,Home,173,Scott Group,2024-05-04,35.9,76.08,317,28,11,93,2025-02-21,Wholesale,184,5,10,WH1,,17,87,4.54
5256,Within,Books,109,Myers Inc,2022-08-10,9.74,16.83,289,77,9,50,2025-02-20,Online,82,1,8,WH3,,26,14,1.12
6068,Risk,Grocery,124,Kelly PLC,2023-08-01,32.25,74.62,466,39,8,93,2025-02-12,Online,105,5,6,WH3,2021-09-30,22,68,0.21
5376,Sound,Clothing,132,"Flowers, Johnston and Ward",2024-02-08,19.05,53.65,53,96,5,73,2025-02-08,Online,144,1,0,WH1,,18,15,0.71
